Type,YouTube,Student,Date,Title,Keywords,Summary,MainLevel,Level1,Level2,Level3,Lecturer,Affiliation,SummaryWordCount,2-4 highlights: no longer than 3 minutes each with a clear one-line description of WHY it's a highlight,,,,,Time spent on each video,"Possible B-Roll, Background Music",,,,COMMENTS
Distinguished Lecture,http://youtu.be/mwnPQOoNKTQ,Generale (9),25-10-2007,Musical Origins: Processing Temporal and Spectral Patterns in Infancy,"Early Development, Music, Brain, Perception, Auditory Development","Across human societies, music remains a universal experience that all of us - young and old - come to experience. From our youngest days as infants, we are exposed to music through the singing of lullabies or rhythm from ""bouncing"". In this Distinguished Lecture, Professor Laurel Trainor talks about the origins of music in a developmental sense - how early can humans recognize and learn rhythm and pitch structures, and do specific musical experiences from childhood affect brain development? Various studies are explored, showing that even infants can be sensitive to consonance and dissonance, exhibit the ability to extract rhythmic, or metrical structure, and that the auditory cortex can rapidly mature between the ages of 2-6 months.","Cognition, Perception and Movement",Perception,Brain,Early Develop,Laurel Trainor,"McMaster University, Canada",114,"(~10:24 - 13:36) Rhythm and Movement in Infants --> A humorous look at infants and their rhythm perception using an experiment with bouncing and an ambiguous rhythm (as either duple or triple meter), closing with data that shows that the way an infant is bounced/moved affect what rhythm they perceive/show preference to (for more information on the ""ambiguous rhythm"" set-up, see 4:33 - 7:35).","(~ 35:44 - 38:50) Learning Musical Pitch Structure: Consonance vs. Dissonance Recognition in Infants --> This highlight, preceeded a few minutes before by some background information on pitch processing and the basiliar membrane, shows infants exhibiting preference for consonance over dissonance as early as 2 months old in a study involving intervals, and a study involving a Mozart tune and it's dissonant version.","(~57:49 - 1:01:27) Can Infants Hear Virtual Pitch? --> Starting with a short introduction to virtual pitch/pitch of the missing fundamental, Prof. Trainor presents data on infants being able to perceive virtual pitch at 4 months old, but not at 2 months old, showing rapid maturation of the auditory cortex in infants after 2 months.","(~1:02:31 - 1:06:00) Effects of Specific Musical Experience on Brain Development --> An extra look into more of Prof. Trainor's work that examines the effect of musical experience on brain development in older children (past infancy). (Note: This was kind of an extra thing she attached to the end of her talk instead of a formal conclusion or wrap-up, so it runs a little longer than 3 min.)",,3h30,,,,,
Distinguished Lecture,http://youtu.be/8mzQRnWAu2A,West (7),17-01-2008,Obstinate systems: Resistance as process in interactive performance,"interactive music, digital musical instruments, Max/MSP, ","Butch Rovan describes several pieces in which interactive audio systems are designed to resist the performers. The obstinacy of these systems is taken as a creative impetus, and the performer must work with—and against—them, finding themselves in a collaborative relationship with these computational co-performers, exploring musical and creative terrain where they might not normally find themselves.","Instruments, Devices and Systems",Interaction,,,Butch Rovan,"Brown University, USA",56,35:45 - 37:15 (1m30s) Studies in Movement #1,12:54 - 13:28 (34s) Rovan talks about one performer's personal experience working with one of Rovan's obstinate systems.,,,,2hr00,"8:55 - 11:30 (2m35s), excerpt from sine hohle Form",16:07 - 19:27 (3m20s) excerpt from Vis-a-Vis,"22:50 - 25:20 (2m40s), excerpt from Collide","43:20 - 44:00 (40s) lovely image, no sound",
Distinguished Lecture,http://youtu.be/GRrElxJkvIc,Martins (8),21-02-2008,Oscillation regimes of musical wind instruments: The points of view of the physicist and the instrumentalist ,"bifurcation schemes, acoustics, clarinet, oscillation regimes, self-sustained oscillations","Depending on the musical instrument, it is possible to produce up to 20 different sounds with one single fingering. This relationship between fingering and resulting sound is determined by the oscillation regimes, which is why it is essential for the musician to learn to control them. Dr. Kergomard shows how these regimes apply to wind instruments, particularly the clarinet. Using different models and bifurcation schemes, he investigates the behavior of sound in nonlinear systems. His lecture includes a review of elementary acoustics, results from an experiment that uses an artificial mouth, and even a theoretical explanation of why clarinets squeak.","Instruments, Devices and Systems",Acoustics,,,Jean Kergomard,"Laboratoire de Mécanique et d'Acoustique, CNRS, France",99,"18:47-19:10 
Watch as an artificial mouth developed in IRCAM (Paris) with latex tubes filled with water is used by Pierre-André Taillard to play the clarinet.","40:09 – 41:14 
Listen to the period doubling phenomenon.",,,,2hr55,,,,,
Distinguished Lecture,http://youtu.be/D5EJLQlUigM,Richardson (7),27-03-2009,Mining for the Meaning of Music,"rhythm, melody, motif, principal component analysis, beat tracker","What does the term ""music"" denote? Can we define music?  As a professor of electrical engineering and leader of the Laboratory for Recognition and Organization of Speech and Audio (LabROSA), Ellis explores large collections of music samples in order to produce “a condensed space” in which to identify and label musical qualities and provide definitions. His extensive research has encompassed drumbeat rhythms and melody analysis. The aim of his melody research is to provide a dictionary of common motifs (clichés) in musical melodies. Additionally, Ellis studies the meanings or labels individuals attribute to music, and this research, in turn, has implications as to how music is to be classified.",Music Information Research,Analysis,,,Dan Ellis,"Columbia University, USA",109,"4:26-5:17 topic of talk: what is denoted by the term ""music""? Can we define music",55:05-55:25 overview of the ongoing research goals,,,,15/05/18 0:15 16/05/18 1:40,,,,,
Distinguished Lecture,http://youtu.be/VjSMna75fxY,Generale (8),17-04-2008,Sound Actions: Human Movement in the Perception and Cognition of Music,"Perception, Cognition, Movement, Music Theory, ","Movement is everywhere: from walking down the street, to hand gestures while speaking, to a musician's movement during a performance. Regardless of musical training and background, humans are observed to spontaneously generate movements that reflect musical features. In this lecture, Professor Godoy reviews various studies on music and movement and how these findings may influence other areas of music research such as music perception cognition and music theory. By examining the link between music and movement, Prof. Godoy speaks on how human movement plays an integral part in music perception and music cognition in general. The lecture ends with a conclusion of topics, as well as issues, concerns, and suggestions for future work.","Cognition, Perception and Movement",Perception,,,Rolf Inge Godøy,"University of Oslo, Norway",113,"(~3:11 - 6:28) Why Study Sound-Related Actions? --> An introduction for the purpose of the lecture, the Motor Theory of Perception (which is referenced repeatedly in this talk; please reference 16:56 - 19:56 for more details on this theory and the link between movement and music theory), and his personal reasons related to music theory as to why he studies movement in music.(Sorry, a few seconds over three minutes, he closes with a long sentence, but it's interesting)","(~21:11 - 26:16) Air Guitar Championships: Motor Components in Music Perception --> An examination, by looking at a video from the World Air Guitar Championships, on how people with little music training/background are still able to pick up on or imitate musical movements.","(~32:15 - 35:06) Listener's Knowledge of Sound-Producing Actions --> An example of humans exhibiting knowledge of musical movement, regardless of musical background using a piano study with a professional, a student, and a tone-deaf person, with the latter showcasing the ability to follow pitch-space, dynamics, and onset of notes.","(~1:10:03 - 1:13:00) Summary, Conclusion, and Future Work --> A nice wrap up of the concepts (motor theory - 16:56, chunking - 47:17, and coarticulation - 58:40) from this lecture, how it can be applied to music theory, its challenges, and where future work needs to be done.",,4h30 (because it was hard to hear…),,,,,
Distinguished Lecture,http://youtu.be/S7AOZIGP9Ys,Generale (7),16-10-2008,Slippery Rocks: A Low-Tech Percussionist Navigates the Crosscurrents of Music Technology,"Percussion, Music Technology, Performance Practice, Performance, Contemporary Music","Percussion and music technology have often been lumped together as ""new technology from the 20th century,"" involving the ""liberation"" or refinement of sound, and largely involving the culture of addition. In this lecture, Steven Schick talks about how concepts regarding percussion and performance might transpose into the realm of music technology. The exploratory and forward-moving thinking of music from the late 20th and early 21st century often driven by creators (such as engineers) and composers, and the process of consolidation - the creation of language and performance practice - often driven by performers is discussed. This lecture examines the role of performer and consolidation, the concept of meaningful limits, and closes with Prof. Schicks musical examples (41:17).",Expanded Musical Practice,Performance,,,Steven Schick,"University of California, San Diego, USA",115 (because of time stamp),"(~4:31 - 7:46) Percussion and Music Technology --> This highlight discusses how the world of percussion might transpose into the world of music technology, as well as the concept of ""additive culture"" and the ""improvishment of sound"" - the latter two of which will be referenced for the duration of the talk. (Note: he fully finishes talking about this at 9:15, which is longer than 3 min, but what he closes with is interesting)","(~14:07 - 17:15) (Never) Stop Exploring--> Prefaced by a short introduction into the creation of meaningful limits (~11:00), Prof. Schick discusses the explorative thinking that drives the creation of new music and the challenges that come with it, the idea of consolidation, and the role of the performer in relation to music technology.","(~26:19 - 29:36) The Role of the Performer --> This highlight further expands on Prof. Schick's ideas on the role of the performer and consolidation in the creating and developing of new music with technology, closing with a personal performance experience of his. (Note: this could also end around 29:54.. Sorry, I know these highlights tend to run a little on the long side, so I tried to pick an endtime that didn't cut off a sentence, but still made sense as an ending, even though he continues.)","(~32:58 - 34:18) Engagement with Technology --> In this highlight, Prof. Schick discusses what is necessary for the longevity and vitality of art, the importance of conversation between practitioners, and the important questions for performers engaging in technology (which leads into examples from Prof. Schick's performance experiences).",,4h00,,,,,
Distinguished Lecture, http://youtu.be/CxFVjKMsaTc,Martins (7),22-01-2009,The voice as a musical instrument,"voice source, tuning formants, vocal economy, formant cluster, voice timbre, fundamental frequency, partials","How do singers produce and project their voice, doing so in a way that reaches different levels of expressivity? In a very didactic lecture, Dr. Sundberg unveils these aspects of singing. He starts with a comprehensive yet concise explanation of the physiological and acoustic components of the voice, especially the tuning formants. Following is a discussion on strategies adopted by professional singers to ensure vocal economy, like the manipulation of the first formant and the formant cluster used by female and male singers respectively. Finally, he investigates three principles associated with expressiveness: tempo changes to mark the structure, intonation variation to emphasize contrasts, and time of tone onset to reinforce important notes.","Instruments, Devices and Systems",Performance,,,Johan Sundberg,"Royal Institute of Technology, Sweden",112,"2:48-3:32
Listen to the single partials of a voice source","8:42-9:31
Interesting demonstration of vowels as a function of vocal tract shape","15:34-17:57 
Informative summary of tuning formants' roles","29:53-32:44 
Listen to the singer’s formant cluster, also known as singer’s spectrum peak, as it is used by operatic western singers.",,2hr20,,,,,
Distinguished Lecture,http://youtu.be/z_sFVFsENMg,Martins (9),19-02-2009,Tonality as a colonizing force in African music ,"tonality, African colonization, Protestant hymn, pre-colonial African soundscape, pygmy singing, pentatonism","Dr. Agawu defines tonality as a “hierarchically organized system of relations animated by desire,” that, according to him, has been used as both instrument of control and creative language. His lecture is centered on the colonizing potential of forms of tonality exported to Africa mainly through the Protestant hymn, thereby affecting the soundscape of costal regions and urban locations. His discussion on the features of the imagined sound of pre-colonial Africa and the responses to European tonality includes musical excerpts from pygmy pentatonic singing, dundun drumming, art music by the composer Joshua Uzoigwe, and new traditional music. All musical examples are thoroughly analyzed, leading to a profound insight into the dynamics of tonal influences.",Music Information Research,Musicology,,,Kofi Agawu,"Princeton University, USA",114,"18:53-19:50 
Listen to the pentatonic pygmy singing – an example of pre-colonial African music","28:36-29:20 
Listen to the dundun drumming, known for their ability to mimic the inflexions of spoken language","32:52-34:56 
Unpublished recording of a song by the Nigerian composer Joshua Uzoigwe performed by his girlfriend and himself. ",,,3hr10,,,,,
Distinguished Lecture,http://youtu.be/UAPEVDPvlE8,Generale (6),26-03-2009,Musical Memories in Normal and Disordered Aging,"Aging, Perception, Cognition, Dementia, Alzheimer's,","Caregivers often report witnessing a positive effect of music on a patient with dementia. While the aging brain may face cognitive difficulties, particularly those suffering from dementia of the Alzheimer's type, normal aging patients as well as those in moderate to severe stages of dementia can exhibit preserved memory for melody and lyrics. In this talk, Professor Lola Cuddy explores the topic of music and the aging brain by speaking on approaches to studying musical memory, with a focus on melodies, the challenges of research in patients with dementia, and her own work. Various case studies and their data are examined, and a brief overview of the work done in this field is explored.","Cognition, Perception and Movement",Perception,,,Lola Cuddy,"Queen's University, Canada",114,"(~2:14 - 5:03) Paradigms for the Study of Musical Memory --> Prof. Cuddy outlines the methods and approaches to studying musical memories, and these concepts will be repeatedly referenced for the duration of the talk. (For some general findings regarding the four paradigms mentioned here, please see 12:26 - 21:12)","(24:13 - 27:15) What About What Caregivers Tell Us (Long-Term Memory)? --> A look into procedural memory and the research challenges in this field of recruiting subjects (for the methods they developed in answer to the research challenges they faced, please see ""Behavioural Observation (~27:28 - 30:28).","(~40:03 - 45:07, can also start at 41:44) Presentation of Data for a Study (Cuddy & Duffin, 2005) --> An examination of data from a study by Cuddy and Duffin that shows encouraging support for the hypothesis that musical memory may be spared and can be reliably assessed (mentioned around ~36:32).  (Also a good intro to box and whisker plots for those who haven't really seen them before. P.S. Sorry, I know this one is waaaay over the 3 min mark for a highlight, but she has some mouse trouble and audience interjection near the beginning, but it's worth it to see what the results show)  ","(~46:08 - 49:07) Concluding Comments --> A wrap up of the concepts and data examined in this talk, as well as areas and questions that are yet to be further explored and answered. (Note: worth it to go until 50:21 for the full wrap-up)",,3h00,,,,,
Distinguished Lecture,http://youtu.be/XLBOBMY_vDQ,Rong (4),16-04-2009,Music and emotion: Toward Computational Models of Empathy and Entrainment,"emotion, society, research, computation","Camurri provides a one-of-a-kind insight into the ground-breaking research he is currently conducting at Italy's University of Genoa, which involves examining the relevance of the performing arts and their potential contribution to the progression of technology and science. He has done much of his work with dancers, getting them to express various emotions through the same choreography and studying how automatic recognition programs allow us to electronically interpret their movement. With this kind of information, he is then able to extrapolate something much bigger: the understanding of empathy and synchronization between people in social environments.","Cognition, Perception and Movement",Psychology,,,Antonio Camurri,"University of Genoa, Italy",95,"13:30-14:24 One of his early research projects analyzed dance languages and the works of choreographers, to see if he could use the connection towards robotic programming. ","33:50-36:50 Five dancers were asked to perform the same choreography four times, each time with a different emotion (anger, fear, grief, joy). Camurri then used a Processing program to analyze their movement, comparing it with the ratings provided by human spectators.","41:37-42:50 By examining how movement correlates with emotion, it was found that two characteristics played a crucial part in musical emotion and interpretation: the motion of the upper body and velocity of head movements.","57:13-59:30 The communication and synchronization between musicians playing together in an ensemble creates a situation where emotions can be either simulated or induced, and then analyzed using measurements like eye contact and body language. ",,3hr,,,,,
